umap_1,umap_2,is_anomaly,label,score
11.259851,11.36819,0,Normal,0.467970073223114
-0.5616145,4.3019943,0,Normal,0.4450113475322723
13.334226,14.70707,0,Normal,0.4615877270698547
-0.3342867,5.5958266,0,Normal,0.5904768705368042
8.447874,11.628327,0,Normal,0.4331232905387878
14.297754,14.86,0,Normal,0.4429196119308471
12.074257,14.071169,0,Normal,0.4112777411937713
8.126981,11.104702,0,Normal,0.4420320689678192
2.5188856,4.2147517,0,Normal,0.4381470084190368
-1.6713359,6.660404,0,Normal,0.3882755637168884
7.6979327,10.64938,0,Normal,0.4246213138103485
-0.22113648,3.9892125,0,Normal,0.4497199058532715
-1.7274615,5.9234376,0,Normal,0.4121958017349243
8.920215,11.132702,0,Normal,0.471699595451355
-2.3966384,7.37065,0,Normal,0.4352613091468811
8.40137,10.674957,0,Normal,0.4282644987106323
9.165484,11.727868,0,Normal,0.4108056128025055
8.653014,11.204746,0,Normal,0.5385152101516724
12.620676,14.628029,0,Normal,0.4413803517818451
-0.9439427,7.125016,0,Normal,0.4392589330673218
8.733867,9.544674,0,Normal,0.4484612345695495
16.34379,15.221615,0,Normal,0.4418424963951111
12.398594,14.95735,0,Normal,0.4244038462638855
-2.2373059,7.818597,0,Normal,0.4339523315429687
2.2281873,4.0685015,0,Normal,0.4119383990764618
3.5591795,2.6702104,0,Normal,0.419123888015747
2.8446336,3.8901658,0,Normal,0.5954933166503906
2.499228,3.6380227,0,Normal,0.4358080625534057
11.24367,12.294111,0,Normal,0.4469534456729889
8.042515,11.166342,0,Normal,0.4967738389968872
12.863559,13.569041,0,Normal,0.4263932704925537
11.396045,11.133407,0,Normal,0.5155861377716064
3.0759497,3.1332102,0,Normal,0.4538127779960632
-1.5471532,6.833561,0,Normal,0.4844718873500824
15.23655,13.272321,0,Normal,0.3962855339050293
10.967681,9.606093,0,Normal,0.4312714338302612
14.752803,14.163373,0,Normal,0.4230635166168213
0.0608512,5.902749,0,Normal,0.4655090570449829
3.4406688,2.6021028,0,Normal,0.4496388435363769
14.4267435,14.803675,0,Normal,0.4581435322761535
-0.41977376,7.365579,0,Normal,0.4587543606758117
2.9846451,2.7227035,0,Normal,0.6416186094284058
