raw_index,pseudo_label,pseudo_label_confidence,second_choice_label,second_choice_confidence,accepted_for_pseudo_label,umap_x,umap_y
276,Edge-Loc,0.9395673871040344,none,0.0252368133515119,True,-0.30080587,8.183593
338,Loc,0.8421867489814758,Center,0.087461307644844,False,5.1088743,10.230241
405,Center,0.9191826581954956,Loc,0.0321221649646759,True,9.63349,17.783707
775,Loc,0.9406480193138124,Edge-Loc,0.0217870287597179,True,3.6777048,8.501846
925,Edge-Loc,0.968519389629364,Random,0.0054649501107633,True,-0.5623575,6.08636
935,Loc,0.9746768474578856,Random,0.0046607758849859,True,5.515172,8.719028
1201,Scratch,0.8654190301895142,none,0.0829728990793228,False,-7.22129,15.44074
1394,Loc,0.8389397263526917,Center,0.0763320252299308,False,5.117116,10.194312
3001,Loc,0.9388285875320436,none,0.0298317410051822,True,4.854913,9.82193
3262,Loc,0.8273707032203674,none,0.1131871789693832,False,4.680954,10.10843
3918,Loc,0.9199669361114502,none,0.0369878225028514,True,4.756114,9.905799
4553,Loc,0.9488272070884703,none,0.0121198501437902,True,4.7841983,8.588258
5492,Loc,0.8179839849472046,Edge-Loc,0.1151481568813324,False,3.2030394,8.342001
5801,Edge-Ring,0.8208284974098206,Edge-Loc,0.1173677891492843,False,-2.1643362,5.0174575
7040,Loc,0.9064016938209534,none,0.0446865744888782,True,3.739088,9.047402
7092,Loc,0.82882159948349,none,0.1305717676877975,False,4.572268,10.252459
7303,Center,0.9522212147712708,Loc,0.0110933799296617,True,9.498664,18.329615
7336,Donut,0.9622949361801147,Loc,0.0062160184606909,True,17.934761,11.880285
7337,Donut,0.8811790943145752,Loc,0.0711666718125343,False,17.444836,11.662257
7747,Scratch,0.8913560509681702,none,0.0834634080529213,False,-7.0979815,15.042647
7797,Edge-Loc,0.8977617025375366,Loc,0.0476091988384723,False,0.6725856,7.936717
7865,none,0.9630560278892516,Edge-Loc,0.0088042952120304,True,1.0896487,14.607185
7942,Loc,0.9530280232429504,none,0.0082139857113361,True,5.484068,9.492159
8017,Random,0.9603685736656188,none,0.0114616844803094,True,16.761105,-1.4197441
8091,Near-full,0.9569827914237976,Edge-Loc,0.0062374523840844,True,7.0391755,-7.380891
8143,Donut,0.9730253219604492,Random,0.0039612539112567,True,18.04104,9.323549
8155,Random,0.9283504486083984,Donut,0.0240333769470453,True,15.185858,-1.7127861
8185,Random,0.9596242308616638,Loc,0.0058355242945253,True,16.074709,-2.71635
8186,Random,0.9572206735610962,Donut,0.0069975103251636,True,15.294927,-2.2895532
8188,Random,0.7691388130187988,Donut,0.1414474248886108,False,15.367225,-1.7302785
8231,Loc,0.7692211866378784,none,0.1163343116641044,False,4.753915,10.026672
8302,Near-full,0.9574103355407716,Edge-Loc,0.006031968165189,True,7.1901016,-7.5339136
8368,Scratch,0.8412066698074341,none,0.058229599148035,False,-7.343749,15.068227
