umap_1,umap_2,split_label,score,raw_index,true_label,pseudo_label,pseudo_label_confidence,second_choice_label,second_choice_confidence,accepted_for_pseudo_label
10.575911,7.448503,labeled_normal,,798632,none,,,,,
8.167589,14.237672,labeled_normal,,731331,none,,,,,
11.816892,9.000967,labeled_normal,,776034,none,,,,,
7.9192233,17.06448,labeled_normal,,712387,none,,,,,
9.864396,15.43179,labeled_normal,,777,none,,,,,
7.912254,15.949127,labeled_normal,,748319,none,,,,,
6.5295906,17.168287,labeled_normal,,694849,none,,,,,
10.417683,16.188538,labeled_normal,,797633,none,,,,,
9.956337,16.304298,labeled_normal,,793084,none,,,,,
10.185504,15.655365,labeled_normal,,725797,none,,,,,
10.616722,7.6002173,labeled_normal,,709120,none,,,,,
12.896012,9.931708,labeled_normal,,689414,none,,,,,
7.4393597,16.020636,labeled_normal,,784729,none,,,,,
13.555787,10.318525,labeled_normal,,251883,none,,,,,
11.404412,12.82715,labeled_normal,,684285,none,,,,,
13.240115,1.0244908,labeled_normal,,776139,none,,,,,
9.409716,13.158116,labeled_normal,,755015,none,,,,,
13.483803,8.27106,labeled_normal,,695682,none,,,,,
9.001529,16.843857,labeled_normal,,676823,none,,,,,
8.716954,15.5751,labeled_normal,,746284,none,,,,,
11.168604,6.624794,labeled_normal,,757073,none,,,,,
12.849194,9.886606,labeled_normal,,720131,none,,,,,
9.997729,16.23905,labeled_normal,,800393,none,,,,,
12.516784,12.338341,labeled_normal,,767178,none,,,,,
10.08344,11.910245,labeled_normal,,807516,none,,,,,
9.216167,16.924501,labeled_normal,,247262,none,,,,,
11.21554,10.665332,labeled_normal,,771665,none,,,,,
10.430387,7.698735,labeled_normal,,749274,none,,,,,
10.387647,9.843027,labeled_normal,,718517,none,,,,,
12.386379,12.493651,labeled_normal,,773965,none,,,,,
8.352411,13.845831,labeled_normal,,252442,none,,,,,
8.356534,15.988655,labeled_normal,,710042,none,,,,,
11.851518,7.84531,labeled_normal,,694122,none,,,,,
13.062839,-3.6481693,labeled_normal,,723509,none,,,,,
11.363856,7.105085,labeled_normal,,771778,none,,,,,
9.650083,13.653769,labeled_normal,,754183,none,,,,,
9.075886,14.577191,labeled_normal,,750027,none,,,,,
10.91054,7.9201837,labeled_normal,,757360,none,,,,,
14.121786,9.493522,labeled_normal,,769525,none,,,,,
12.685545,13.571502,labeled_normal,,687194,none,,,,,
13.192275,12.19588,labeled_normal,,740390,none,,,,,
8.099078,17.027208,labeled_normal,,794179,none,,,,,
7.945371,14.066327,labeled_normal,,657450,none,,,,,
11.178011,13.260746,labeled_normal,,804528,none,,,,,
11.829694,12.885723,labeled_normal,,686235,none,,,,,
7.601992,14.620624,labeled_normal,,656907,none,,,,,
12.265922,9.616146,labeled_normal,,692159,none,,,,,
11.03937,7.020621,labeled_normal,,796783,none,,,,,
9.758075,16.539244,labeled_normal,,754340,none,,,,,
12.176378,12.448438,labeled_normal,,777659,none,,,,,
9.1829605,16.941563,labeled_normal,,802699,none,,,,,
10.29454,15.812745,labeled_normal,,676464,none,,,,,
11.0855255,7.3546696,labeled_normal,,761655,none,,,,,
8.856372,13.835748,labeled_normal,,2256,none,,,,,
11.384798,12.283943,labeled_normal,,783141,none,,,,,
13.9807,10.922722,labeled_normal,,688772,none,,,,,
7.2334604,1.5329828,labeled_normal,,761924,none,,,,,
9.7328415,16.248356,labeled_normal,,643248,none,,,,,
6.9370856,15.197581,labeled_normal,,652531,none,,,,,
8.028627,16.54083,labeled_normal,,647518,none,,,,,
8.043305,14.511354,labeled_normal,,749360,none,,,,,
9.416494,16.440496,labeled_normal,,749951,none,,,,,
9.032474,14.364741,labeled_normal,,722258,none,,,,,
10.790411,15.543713,labeled_normal,,646261,none,,,,,
13.404284,-4.318368,labeled_normal,,764409,none,,,,,
